app,category,rating,review,size,installs,type,price,content_rating,genres,last_updated,current_version,android_ver
PhotoEditorCandyCameraGridScrapBook,ART_AND_DESIGN,4.1,159,19000000.0,10000,Free,0.0,Everyone,Art  Design,2018-01-07,1.0.0,4.0.3
Coloringbookmoana,ART_AND_DESIGN,3.9,967,14000000.0,500000,Free,0.0,Everyone,Art  Design Pretend Play,2018-01-15,2.0.0,4.0.3
"ULauncherLite–FREELiveCoolThemes,HideApps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,Art  Design,2018-08-01,1.2.4,4.0.3
SketchDrawPaint,ART_AND_DESIGN,4.5,215644,25000000.0,50000000,Free,0.0,Teen,Art  Design,2018-06-08,Varies with device,4.2
PixelDrawNumberArtColoringBook,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art  Design Creativity,2018-06-20,1.1,4.4
Paperflowersinstructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art  Design,2017-03-26,1.0,2.3
SmokeEffectPhotoMakerSmokeEditor,ART_AND_DESIGN,3.8,178,19000000.0,50000,Free,0.0,Everyone,Art  Design,2018-04-26,1.1,4.0.3
InfinitePainter,ART_AND_DESIGN,4.1,36815,29000000.0,1000000,Free,0.0,Everyone,Art  Design,2018-06-14,6.1.61.1,4.2
GardenColoringBook,ART_AND_DESIGN,4.4,13791,33000000.0,1000000,Free,0.0,Everyone,Art  Design,2017-09-20,2.9.2,3.0
KidsPaintFreeDrawingFun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art  Design Creativity,2018-07-03,2.8,4.0.3
TextonPhotoFonteee,ART_AND_DESIGN,4.4,13880,28000000.0,1000000,Free,0.0,Everyone,Art  Design,2017-10-27,1.0.4,4.1
NameArtPhotoEditorFocusnFilters,ART_AND_DESIGN,4.4,8788,12000000.0,1000000,Free,0.0,Everyone,Art  Design,2018-07-31,1.0.15,4.0
TattooNameOnMyPhotoEditor,ART_AND_DESIGN,4.2,44829,20000000.0,10000000,Free,0.0,Teen,Art  Design,2018-04-02,3.8,4.1
MandalaColoringBook,ART_AND_DESIGN,4.6,4326,21000000.0,100000,Free,0.0,Everyone,Art  Design,2018-06-26,1.0.4,4.4
3DColorPixelbyNumberSandboxArtColoring,ART_AND_DESIGN,4.4,1518,37000000.0,100000,Free,0.0,Everyone,Art  Design,2018-08-03,1.2.3,2.3
PhotoDesignerWriteyournamewithshapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art  Design,2018-07-31,3.1,4.1
350DiyRoomDecorIdeas,ART_AND_DESIGN,4.5,27,17000000.0,10000,Free,0.0,Everyone,Art  Design,2017-11-07,1.0,2.3
FlipaClipCartoonanimation,ART_AND_DESIGN,4.3,194216,39000000.0,5000000,Free,0.0,Everyone,Art  Design,2018-08-03,2.2.5,4.0.3
ibisPaintX,ART_AND_DESIGN,4.6,224399,31000000.0,10000000,Free,0.0,Everyone,Art  Design,2018-07-30,5.5.4,4.1
LogoMakerSmallBusiness,ART_AND_DESIGN,4.0,450,14000000.0,100000,Free,0.0,Everyone,Art  Design,2018-04-20,4.0,4.1
BoysPhotoEditorSixPackMen'sSuit,ART_AND_DESIGN,4.1,654,12000000.0,100000,Free,0.0,Everyone,Art  Design,2018-03-20,1.1,4.0.3
SuperheroesWallpapers|4KBackgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art  Design,2018-07-12,2.2.6.2,4.0.3
HDMickeyMinnieWallpapers,ART_AND_DESIGN,4.7,118,23000000.0,50000,Free,0.0,Everyone,Art  Design,2018-07-07,1.1.3,4.1
HarleyQuinnwallpapersHD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art  Design,2018-04-25,1.5,3.0
ColorfitDrawingColoring,ART_AND_DESIGN,4.7,20260,25000000.0,500000,Free,0.0,Everyone,Art  Design Creativity,2017-10-11,1.0.8,4.0.3
AnimatedPhotoEditor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art  Design,2018-03-21,1.03,4.0.3
PencilSketchDrawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art  Design,2018-07-12,6.0,2.3
EasyRealisticDrawingTutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art  Design,2017-08-22,1.0,2.3
PinkSilverBowKeyboardTheme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art  Design,2018-07-12,6.7.12.2018,4.0.3
ArtDrawingIdeas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art  Design,2018-05-31,1.2,2.3
AnimeMangaColoringBook,ART_AND_DESIGN,4.5,5035,11000000.0,100000,Free,0.0,Everyone,Art  Design,2018-07-19,2.20,4.0
EasyOrigamiIdeas,ART_AND_DESIGN,4.2,1015,11000000.0,100000,Free,0.0,Everyone,Art  Design,2018-01-06,1.1.0,4.1
ICreativeIdea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art  Design,2018-04-27,1.6,4.1
HowtodrawLadybugandCatNoir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art  Design,2018-07-11,2.1,4.1
UNICORNColorByNumberPixelArtColoring,ART_AND_DESIGN,4.7,8145,24000000.0,500000,Free,0.0,Everyone,Art  Design Creativity,2018-08-02,1.0.9,4.4
PIPCameraPIPCollageMaker,ART_AND_DESIGN,4.7,158,11000000.0,10000,Free,0.0,Everyone,Art  Design,2017-11-29,1.3,4.0.3
HowToColorDisneyPrincessColoringPages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art  Design,2018-03-31,1,4.0
DrawingClothesFashionIdeas,ART_AND_DESIGN,4.2,117,15000000.0,10000,Free,0.0,Everyone,Art  Design,2018-07-20,2.0.1,4.0.3
SadPoetryPhotoFrames2018,ART_AND_DESIGN,4.5,176,10000000.0,100000,Free,0.0,Everyone,Art  Design,2018-04-02,1.0,4.0.3
PaintSplash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art  Design Creativity,2018-04-15,1.46,4.1
PopsicleSticksandSimilarDIYCraftIdeas,ART_AND_DESIGN,4.2,26,12000000.0,10000,Free,0.0,Everyone,Art  Design,2018-01-03,1.0.0,4.1
"Canva:Poster,banner,cardmakergraphicdesign",ART_AND_DESIGN,4.7,174531,24000000.0,10000000,Free,0.0,Everyone,Art  Design,2018-07-31,1.6.1,4.1
InstallimageswithmusictomakevideowithoutNet2018,ART_AND_DESIGN,4.6,1070,26000000.0,100000,Free,0.0,Everyone,Art  Design,2017-11-14,1.6,4.1
MouseMingle,DATING,2.7,3,3.9,100,Free,0.0,Mature 17+,Dating,2018-07-17,1.0.0,4.4
LittleTeddyBearColouringBookGame,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art  Design,2017-12-17,2.0.0,4.1
HowToDrawFood,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art  Design,2018-05-28,1.0,2.3
MonsterTruckStunt3D2019,AUTO_AND_VEHICLES,4.2,367,25000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-05-10,1.0,4.0.3
RealTractorFarming,AUTO_AND_VEHICLES,4.0,1598,56000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-26,11.0,4.1
UltimateF1RacingChampionship,AUTO_AND_VEHICLES,3.8,284,57000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-26,3.0,4.1
AmericanMuscleCarRace,AUTO_AND_VEHICLES,3.9,129,35000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-26,3.0,4.1
OffroadOilTankerDriverTransportTruck2019,AUTO_AND_VEHICLES,4.3,542,33000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-31,4.0,4.1
TicketsSDA2018andExamfromtheStateTrafficSafetyInspectoratewithDrom.ru,AUTO_AND_VEHICLES,4.9,10479,33000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-18,1.7.1,4.0
